City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,saldanha,-33.0117,17.9442,19.4,75,1,2.35,ZA,1680430345
90,madang,-5.2246,145.7966,26.15,83,98,0.64,PG,1680430346
91,reshetylivka,49.565,34.0782,12.03,46,100,6.9,UA,1680430346
92,arraial do cabo,-22.9661,-42.0278,24.92,69,75,3.6,BR,1680430348
93,nishihara,26.1842,127.7558,21.6,73,40,9.77,JP,1680430348
94,lavrentiya,65.5833,-171.0,-20.87,93,12,4.2,RU,1680430349
95,cayenne,4.9333,-52.3333,24.02,94,75,1.54,GF,1680430115
96,new norfolk,-42.7826,147.0587,13.72,64,40,2.68,AU,1680430350
97,labuhan,-6.8844,112.2051,28.56,71,98,0.5,ID,1680430351
98,rodos,36.4408,28.2225,18.81,67,40,5.14,GR,1680430352
99,killybegs,54.6333,-8.45,9.84,64,78,2.34,IE,1680430353
100,bluff,-46.6,168.3333,12.15,68,34,6.51,NZ,1680430353
101,walvis bay,-22.9575,14.5053,20.53,60,0,4.32,NA,1680430262
102,honiara,-9.4333,159.95,25.91,88,99,1.51,SB,1680430355
103,porto velho,-8.7619,-63.9039,23.03,94,75,0.0,BR,1680430210
104,luwuk,-0.9516,122.7875,26.46,83,100,2.62,ID,1680430357
105,vardo,70.3705,31.1107,-3.01,93,100,4.12,NO,1680430357
106,sao filipe,14.8961,-24.4956,26.84,44,0,3.48,CV,1680430358
107,maniitsoq,65.4167,-52.9,-8.49,60,100,4.65,GL,1680430359
108,zaragoza,41.6561,-0.8773,13.58,52,75,12.86,ES,1680430359
109,atuona,-9.8,-139.0333,27.09,77,100,6.41,PF,1680430360
110,dingle,10.9995,122.6711,26.91,71,80,2.68,PH,1680430360
111,constitucion,-35.3333,-72.4167,14.56,84,14,3.38,CL,1680430144
112,ranong,9.9658,98.6348,29.66,66,23,3.09,TH,1680430362
113,chuy,-33.6971,-53.4616,13.18,85,96,2.17,UY,1680430362
114,kapchorwa,1.3965,34.4509,22.51,57,38,1.81,UG,1680430363
115,sambava,-14.2667,50.1667,28.91,68,81,4.09,MG,1680430364
116,souillac,-20.5167,57.5167,28.48,67,75,5.17,MU,1680430365
117,yanliang,34.6592,109.2292,11.78,90,100,6.68,CN,1680430365
118,east london,-33.0153,27.9116,26.87,60,0,8.27,ZA,1680430366
119,fukue,32.6881,128.8419,14.66,73,0,15.29,JP,1680430367
120,muyezerskiy,63.9333,31.65,-1.85,84,100,4.85,RU,1680430367
121,yulara,-25.2406,130.9889,26.35,41,76,1.77,AU,1680430314
122,nome,64.5011,-165.4064,-8.96,86,75,8.23,US,1680430369
123,georgetown,5.4112,100.3354,27.96,78,20,1.54,MY,1680430230
124,mar del plata,-38.0023,-57.5575,14.49,84,0,2.57,AR,1680430161
125,ancud,-41.8697,-73.8203,10.4,84,94,1.39,CL,1680430260
126,hami,42.8,93.45,8.66,13,39,4.08,CN,1680430133
127,ugoofaaru,5.6667,73.0,28.33,65,3,3.54,MV,1680430372
128,saint-philippe,-21.3585,55.7679,29.77,74,92,4.12,RE,1680430372
129,popondetta,-8.7537,148.2534,23.7,93,94,0.95,PG,1680430373
130,upernavik,72.7868,-56.1549,-31.24,99,89,2.38,GL,1680430374
131,taltal,-25.4,-70.4833,20.12,86,38,0.71,CL,1680430221
132,raudeberg,61.9875,5.1352,5.37,67,46,4.8,NO,1680430376
133,mount isa,-20.7333,139.5,25.87,31,77,4.12,AU,1680430376
134,mweka,-4.85,21.5667,24.53,75,99,0.15,CD,1680430378
135,hutchinson,38.0608,-97.9298,11.13,46,0,7.2,US,1680430326
136,havre-saint-pierre,50.2334,-63.5986,-1.8,100,100,6.17,CA,1680430379
137,benghazi,32.1167,20.0667,22.96,34,1,10.76,LY,1680430380
138,inhambane,-23.865,35.3833,26.51,63,100,3.37,MZ,1680430380
139,cap malheureux,-19.9842,57.6142,30.26,63,55,4.02,MU,1680430381
140,sept-iles,50.2001,-66.3821,-1.64,96,100,2.57,CA,1680430382
141,mahebourg,-20.4081,57.7,30.14,72,84,4.18,MU,1680430382
142,lebu,-37.6167,-73.65,12.81,89,94,6.29,CL,1680430383
143,camana,-16.6228,-72.7111,23.17,84,100,1.41,PE,1680430384
144,tasiilaq,65.6145,-37.6368,-2.91,79,75,1.71,GL,1680430385
145,verkhoyansk,67.5447,133.385,-10.57,78,100,6.05,RU,1680430385
146,mataura,-46.1927,168.8643,6.07,97,49,0.91,NZ,1680430386
147,mogok,22.9167,96.5,24.66,40,95,1.85,MM,1680430387
148,sitka,57.0531,-135.33,0.94,80,20,2.06,US,1680430304
149,hastings,50.8552,0.5729,8.88,30,83,9.35,GB,1680430388
150,talaya,61.3833,152.75,-12.04,96,100,2.69,RU,1680430331
151,marzuq,14.4,46.4667,29.07,41,45,1.15,YE,1680430390
152,ca mau,9.1769,105.15,27.28,75,94,3.56,VN,1680430391
153,sembakung,3.8167,117.25,25.41,91,100,0.92,ID,1680430392
154,port hedland,-20.3167,118.5667,30.47,64,23,7.13,AU,1680430394
155,andenes,69.3143,16.1194,-0.01,59,40,2.57,NO,1680430395
156,bambous virieux,-20.3428,57.7575,30.12,73,84,4.16,MU,1680430395
157,hofn,64.2539,-15.2082,3.74,60,26,1.81,IS,1680430130
158,fushan,37.4958,121.2581,17.47,22,86,4.3,CN,1680430397
159,bourail,-21.5667,165.4833,24.89,85,99,1.8,NC,1680430397
160,virginia beach,36.8529,-75.978,11.12,54,0,5.14,US,1680430207
161,mmathubudukwane,-24.6,26.4333,29.81,28,3,3.95,BW,1680430399
162,binzhou,37.3667,118.0167,21.27,21,57,8.06,CN,1680430399
163,meoqui,28.2833,-105.4833,18.15,20,100,1.52,MX,1680430400
164,rochester,43.1548,-77.6156,-2.43,58,20,4.63,US,1680430266
165,ballarat,-37.5662,143.8496,10.88,84,8,1.79,AU,1680430401
166,owerri,5.4833,7.0304,32.33,55,92,1.3,NG,1680430103
167,san vicente,-26.6167,-54.1333,8.67,61,0,1.36,AR,1680430254
168,olafsvik,64.8945,-23.7142,3.77,74,89,7.19,IS,1680430403
169,maningrida,-12.0667,134.2667,28.2,70,82,2.85,AU,1680430404
170,liverpool,53.4106,-2.9779,10.34,76,75,3.6,GB,1680430268
171,beringovskiy,63.05,179.3167,-14.63,85,15,2.0,RU,1680430331
172,dharchula,29.85,80.5333,18.95,56,71,1.87,IN,1680430405
173,san ignacio,17.1561,-89.0714,20.08,94,0,0.0,BZ,1680430406
174,morant bay,17.8815,-76.4093,22.06,84,8,4.14,JM,1680430407
175,dikson,73.5069,80.5464,-16.95,94,100,5.79,RU,1680430408
176,aklavik,68.2191,-135.0107,-23.25,99,88,1.19,CA,1680430409
177,turukhansk,65.8167,87.9833,0.12,99,100,9.9,RU,1680430410
178,acarau,-2.8856,-40.12,24.45,88,81,2.26,BR,1680430411
179,quatre cocos,-20.2078,57.7625,30.05,72,77,4.15,MU,1680430145
180,tahoua,14.8888,5.2692,34.12,6,81,5.66,NE,1680430413
181,cubulco,15.1333,-90.5833,15.22,95,38,0.65,GT,1680430415
182,pualas,8.0172,123.8481,25.04,90,100,1.73,PH,1680430416
183,isangel,-19.55,169.2667,27.29,83,50,1.7,VU,1680430417
184,victoria,22.2855,114.1577,22.03,91,49,1.34,HK,1680430240
185,qandala,11.472,49.8728,30.29,63,14,3.56,SO,1680430418
186,aripuana,-9.1667,-60.6333,21.64,99,100,0.76,BR,1680430275
187,san jeronimo,-11.9472,-75.2829,8.19,90,100,0.41,PE,1680430420
